USA-IL-00001,Acorns Golf Links,Public,18,3933 Anne Rd,Waterloo,Illinois,United States of America,62298,(618) 939-7800,(618) 939-3005,www.acornsgolflinks.com,-90.1987667,38.2915332,Matt Grider,Director,acornsgolflinks@gmail.com,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No
USA-IL-00003,Aldeen Golf Club,Public,18,1900 Reid Farm Rd,Rockford,Illinois,United States of America,61107,(815) 282-4653,(815) 282-9582,www.aldeengolfclub.com,-88.985593,42.293259,,,rpdmail@inwave.com,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No
USA-IL-00004,Alpine Hills Golf Center,Public,9,4402 Larson Ave,Rockford,Illinois,United States of America,61108,(815) 398-1901,,www.golfalpinehills.com,-89.031441,42.258535,Grant Rundblade,General Manager/Head Superintendent,info@golfalpinehills.com,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No
USA-IL-00005,Alton Municipal Golf Club,Municipal,9,1 Golf Rd,Alton,Illinois,United States of America,62002,(618) 465-9861,,www.alton-il.com,-90.159365,38.918174,Brad Cunningham,Executive Director,bcunningham@alton-il.com,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No
USA-IL-00006,American Legion Post 199 Golf Club,Public,9,58 State Route 157,Edwardsville,Illinois,United States of America,62025,(618) 656-9774,,,-89.967487,38.806459,,,,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No
USA-IL-00007,Anderson Fields Golf Course,Public,9,1901 N Bloomington St,Streator,Illinois,United States of America,61364,(815) 672-3702,,www.ci.streator.il.us/anderson-fields.php,-88.835821,41.142079,Eric Isermann,Manager,golf@ci.streator.il.us,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No
USA-IL-00008,Angus Links Golf Course,Public,18,Hwy 16 Route 1,Windsor,Illinois,United States of America,61957,(217) 459-2805,(217) 459-2641,www.anguslinks.com/,-88.4705578,39.4634191,,,anguslinks@consolidated.net,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No
USA-IL-00009,Annbriar Golf Course ,Public,18,1524 Birdie Ln,Waterloo,Illinois,United States of America,62298,(618) 939-4653,(618) 939-4654,,-90.201949,38.352752,,,annbriar@htc.net,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No
USA-IL-00010,Antioch Golf Club,Public,18,40150 N Route 59,Antioch,Illinois,United States of America,60002,(847) 395-3004,(847) 395-6912,www.antiochgolfclub.com/,-88.11181,42.446388,Rick Vaders,General Manager,kwgolfpro@gmail.com,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No
USA-IL-00011,Apple Canyon Lake Golf Course,Public,9,14A57 Canyon Club Dr,Apple River,Illinois,United States of America,61001,(815) 492-2477,(815) 492-2160,www.applecanyonlake.org,-90.152411,42.422682,,,apple@aeroinc.net,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No
USA-IL-00012,Apple Orchard Golf Course,Public,9,696 W Stearns Rd,Bartlett,Illinois,United States of America,60103,(630) 837-5292,(630) 837-6608,www.bartlettparks.org/facilities/golf/apple-orchard.aspx,-88.19205,41.973983,Tim Rooney,Golf and Ski Operations Coordinator,_contact Form,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No
USA-IL-00013,Arboretum Golf Club,Public,18,401 Half Day Rd,Buffalo Grove,Illinois,United States of America,60089,(847) 913-1112,(847) 913-0277,www.arboretumgolf.com,-87.96487,42.196028,,,info@arboretumgolf.com,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No
USA-IL-00014,Arlington Greens Golf Club,Public,18,200 Arlington Dr,Granite City,Illinois,United States of America,62040,(618) 931-5232,,www.arlingtongreens.com,-90.127745,38.714454,,,info@arlingtongreens.com,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No
USA-IL-00015,Arlington Lakes Golf Club,Public,18,1211 S New Wilkes Rd,Arlington Heights,Illinois,United States of America,60005,(847) 577-3030,(847) 590-6048,www.ahpd.org/programs/golf/arlington_lakes/,-87.97987,42.062218,Alan Bevers,Golf Maintenance Supervisor,abevers@ahpd.org,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No
USA-IL-00016,Arrowhead Country Club,Private,18,19430 Centerville Rd,Chillicothe,Illinois,United States of America,61523,(309) 274-4675,(309) 274-2913,www.arrowheadcc.net/,-89.610443,40.924474,Aleah Jackson,,accaleah@gmail.com,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No
USA-IL-00017,Arrowhead Golf Club,Public,27,26W151 Butterfield Rd,Wheaton,Illinois,United States of America,60187,(630) 653-5800,(630) 653-5864,www.arrowheadgolfclub.org,-88.13443,41.82861,,,bklemz@wheatonparks.org,N/D,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No
USA-IL-00018,Aspen Ridge Golf Course,Semi-Private,18,Larry Powers Rd,Bourbonnais,Illinois,United States of America,60914,(815) 939-1742,(815) 932-7983,aspenridgegolf.com/,-87.875385,41.162592,Leo Ciaccio,Owner,aspenridgegolf@gmail.com,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No
USA-IL-00019,Atwood Homestead Golf Course,Public,18,8990 Old River Rd,Rockford,Illinois,United States of America,61103,(815) 623-2411,(815) 633-6629,www.winnebagocountygolf.com/atwood_details/,-89.059291,42.392376,,,,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No
